Sohlene Daily Stock Count,,,,,,,,,,,,,,,
Date,Rings,Earrings,Bracelet ,Bangle,Necklace,Pendant,RFS,Stone,Approval,Ring Collet,Detachable rings,Addded to stock,Sent for repair,Sale,Total
03.06.2026,0,0,0,0,0,0,0,,,0,0,0,0,0,0
03.07.2026,8,0,0,0,0,0,0,,,0,0,0,0,0,8
04.07.2026,6,1,0,0,0,0,0,,,0,0,0,1,0,7
06.07.2026,7,1,0,0,0,0,0,,,0,0,0,0,0,8
07.07.2026,7,1,0,0,0,0,0,,,0,0,0,0,0,8
08.07.2026,7,1,0,0,0,0,0,,,0,0,0,0,0,8
09.07.2026,7,1,0,0,0,0,0,,,0,0,0,0,0,8
10.07.2026,7,1,0,0,0,0,0,,,0,0,0,0,0,8
11.07.2026,7,1,0,0,0,0,0,,,0,0,0,1,0,8
13.07.2026,12,1,0,0,0,0,0,,,0,0,6,1,0,13
14.07.2026,12,1,0,0,0,0,0,,,0,0,0,1,0,13
15.07.2026,12,1,0,0,0,0,0,,,0,0,0,1,0,13
16.07.2026,12,1,0,0,0,0,0,,,0,0,0,1,0,13
17.07.2026,12,1,0,0,0,0,0,,,0,0,0,1,0,13
18.07.2026,12,1,0,0,0,0,0,,12,0,0,0,1,0,13
20.07.2026,17,5,0,0,0,0,0,,0,0,0,9,1,0,22
21.07.2026,17,5,0,0,0,0,0,2,0,0,0,0,1,0,22
22.07.2026,17,5,0,0,0,0,0,2,0,0,0,0,1,0,22
23.07.2026,17,5,0,0,0,0,0,2,0,0,0,0,1,0,22
24.07.2026,17,5,0,0,0,0,0,0,0,0,0,0,1,0,22
25.07.2026,17,5,0,0,0,0,0,0,0,0,0,0,1,0,22
27.07.2026,17,5,0,0,0,0,0,0,0,0,0,0,1,0,22
28.07.2026,17,5,0,0,0,0,0,0,0,0,0,0,1,0,22
29.07.2026,17,5,0,0,0,0,0,0,0,0,0,0,1,0,22
30.07.2026,17,5,0,0,0,0,0,0,0,0,0,0,1,0,22
31.07.2026,17,5,0,0,0,0,0,0,0,0,0,0,1,0,22
01.08.2026,17,5,0,0,0,0,0,0,0,0,0,0,1,0,22
03.08.2026,20,8,2,0,0,1,0,0,0,0,0,9,1,0,31
04.08.2026,20,8,2,0,0,1,0,0,0,0,0,0,1,0,31
05.08.2026,20,8,2,0,0,1,0,0,0,0,0,0,1,0,31
06.08.2026,20,8,2,0,0,1,0,0,0,0,0,0,1,0,31
07.08.2026,20,8,2,0,0,1,0,0,0,0,0,0,1,0,31
08.08.2026,20,8,2,0,0,1,0,0,0,0,0,0,1,0,31
10.08.2026,20,8,2,0,0,1,0,0,0,0,0,0,1,0,31
11.08.2026,20,8,2,0,0,1,0,0,0,0,0,0,1,0,31
12.08.2026,20,8,2,0,0,1,0,0,0,0,0,0,1,0,31
13.08.2026,20,8,2,0,0,1,0,0,0,0,0,0,1,0,31
14.08.2026,20,8,2,0,0,1,0,0,0,0,0,0,1,0,31
17.08.2026,20,8,2,0,0,1,0,0,0,0,0,0,1,0,31
18.08.2026,20,8,2,0,0,1,0,0,0,0,0,0,1,0,31
19.08.2026,20,8,2,0,0,1,0,0,0,0,0,0,1,0,31
20.08.2026,20,8,2,0,0,1,0,0,0,0,0,0,1,0,31
21.08.2026,20,8,2,0,0,1,0,0,0,0,0,0,1,0,31
22.08.2026,22,8,2,0,0,1,0,0,0,0,0,2,0,0,33
24.08.2026,22,8,2,0,0,1,0,0,0,0,0,0,0,0,33
25.08.2026,22,8,2,0,0,1,0,0,0,0,0,0,0,0,33
26.08.2026,22,8,2,0,0,1,0,0,0,0,0,0,0,0,33
27.08.2026,21,8,2,0,0,1,0,0,1,0,0,0,0,0,32
29.08.2026,18,8,2,0,0,1,0,0,4,0,0,0,0,0,29
31.08.2026,21,8,2,0,0,1,0,0,0,0,0,0,0,1,32
01.09.2026,21,8,2,0,0,1,0,0,0,0,0,0,0,0,32
02.09.2026,21,8,2,0,0,1,0,0,0,0,0,0,0,0,32
